year,River_ID,Section_ID,Cum_Distance,min_Z
2012,KE,KE01,0.0,-8.0
2012,KE,KE02,762.0,-5.89
2012,KE,KE03,1355.0,-4.11
2012,KE,KE04,1999.0,-13.1
2012,KE,KE05,2541.0,-6.64
2012,KE,KE06,3219.0,-4.97
2012,KE,KE07,3812.0,-5.41
2012,KE,KE07.A,4305.0,-7.74
2012,KE,KE08,4879.0,-3.85
2012,KE,KE09,5455.0,-7.43
2012,KE,KE10,5624.0,-7.82
2012,KE,KE11,6099.0,-6.5
2012,KE,KE11.A,6268.0,-8.38
2012,KE,KE12,6776.0,-7.44
2012,KE,KE13,7149.0,-7.5
2012,KE,KE14,7522.0,-6.31
2012,KE,KE14.A,7894.0,-11.69
2012,KE,KE15.A,8047.0,-8.19
2012,KE,KE16,8310.0,-7.67
2012,KE,KE16.A,8470.0,-12.14
2012,KE,KE16.C,8978.0,-9.62
2012,KE,KE17,9232.0,-4.68
2012,KE,KE18,9588.0,-2.6
2012,KE,KE19,10266.0,-2.55
2012,KE,KE19.A,10672.0,-3.25
2012,KE,KE20,10943.0,-3.44
2012,KE,KE20.1,11824.0,-2.51
2012,KE,KE20.2,12197.0,-3.78
2012,KE,KE20.3,12536.0,-2.51
2012,KE,KE20.4,12841.0,-4.3
2012,KE,KE20.5,13213.0,-4.45
2012,KE,KE20.6,13468.0,-5.43
2012,KE,KE27.A,13552.0,-5.9
2012,KE,KE20.7,14060.0,-3.65
2012,KE,KE28.A,14399.0,-3.15
2012,KE,KE20.8,14941.0,-2.25
2012,KE,KE20.8A,15280.0,-2.77
2012,KE,KE34.A,15754.0,-3.69
2012,KE,KE35,16263.0,-3.42
2012,KE,KE35.A,16602.0,-3.12
2012,KE,KE35.B,16839.0,-1.25
2012,KE,KE36,17347.0,-2.06
2012,KE,KE37,17957.0,-0.92
2012,KE,KE37.1,18211.0,-1.78
2012,KE,KE37.2,18600.0,-3.37
2012,KE,KE40,18804.0,-0.57
2012,KE,KE41,19312.0,-2.53
2012,KE,KE42,19651.0,-2.73
2012,KE,KE43,20159.0,-2.35
2012,KE,KE44,20532.0,-0.57
2012,KE,KE45,21040.0,-0.85
2012,KE,KE46,21548.0,-0.17
2012,KE,KE47,21887.0,-0.98
2012,KE,KE48,22226.0,-2.98
2012,KE,KE48.2,22395.0,-0.49
2012,KE,KE49,22886.0,-0.45
2012,KE,KE50,23412.0,-2.64
2012,KE,KE51,23733.0,-0.32
2012,KE,KE52,24225.0,-1.08
2012,KE,KE52.1,24563.0,-1.18
2012,KE,KE53,24597.0,-0.95
2012,KE,KE54,24936.0,-1.06
2012,KE,KE55,25122.0,0.09
2012,KE,KE55.1,25258.0,-1.02
2012,KE,KE55.2,25360.0,-0.29
2012,KE,KE55.3,25444.0,-0.17
2012,KE,KE55.5,25580.0,0.17
2012,KE,KE56,25698.0,-0.91
2012,KE,KE56.1,25817.0,-0.82
2012,KE,KE57,25953.0,0.05
2012,KE,KE58,26190.0,-0.87
2012,KE,KE59,26461.0,0.36
2012,KE,KE60,26800.0,0.16
2012,KE,KE61,27138.0,0.74
2012,KE,KE62,27206.0,-0.11
2012,KE,KE63,27477.0,-0.14
2012,KE,KE64,27680.0,1.26
2012,KE,KE65,27968.0,0.45
2012,KE,KE66,28290.0,-0.17
2012,KE,KE67,28595.0,0.96
2012,KE,KE68,29171.0,0.99
2012,KE,KE69,29493.0,0.6
2012,KE,KE70,29832.0,0.77
2012,KE,KE71,30018.0,1.72
2012,KE,KE72,30188.0,1.84
2012,KE,KE73,30899.0,1.33
2012,KE,KE73.1,31373.0,0.27
2012,KE,KE74,31678.0,2.4
2012,KE,KE75,32220.0,1.71
2012,KE,KE76,32864.0,3.17
2012,KE,KE77,33406.0,2.72
2012,KE,KE78,33813.0,3.29
2012,KE,KE79,33915.0,3.12
2012,KE,KE80,34101.0,1.82
2012,KE,KE80.1,34236.0,2.92
2012,KE,KE81,34338.0,3.09
