year,River_ID,Section_ID,Cum_Distance,warning
2012,H,H07.1,3573.0,no_points
2012,H,H08.1,4327.0,no_points
2012,H,H16.1,8795.0,no_points
2012,H,H18.1,9943.0,no_points
2012,H,H20.1U,11557.0,no_points
2013,H,H07.1,3573.0,no_points
2013,H,H08.1,4327.0,no_points
2013,H,H18.1,9943.0,no_points
2013,H,H20.1U,11557.0,no_points
2014,H,H07.1,3573.0,no_points
2014,H,H08.1,4327.0,no_points
2014,H,H18.1,9943.0,no_points
2014,H,H20.1U,11557.0,no_points
2015,H,H07.1,3573.0,no_points
2015,H,H08.1,4327.0,no_points
2015,H,H18.1,9943.0,no_points
2015,H,H20.1U,11557.0,no_points
2016,H,H07.1,3573.0,no_points
2016,H,H08.1,4327.0,no_points
2016,H,H18.1,9943.0,no_points
2016,H,H20.1U,11557.0,no_points
2016,H,H67.2,27702.0,no_points
2016,H,H67.3,28544.0,no_points
2017,H,H07.1,3573.0,no_points
2017,H,H08.1,4327.0,no_points
2017,H,H18.1,9943.0,no_points
2017,H,H20.1U,11557.0,no_points
2017,H,H67.2,27702.0,no_points
2017,H,H67.3,28544.0,no_points
2018,H,H07.1,3573.0,no_points
2018,H,H08.1,4327.0,no_points
2018,H,H18.1,9943.0,no_points
2018,H,H20.1U,11557.0,no_points
2018,H,H67.2,27702.0,no_points
2018,H,H67.3,28544.0,no_points
2019,H,H07.1,3573.0,no_points
2019,H,H08.1,4327.0,no_points
2019,H,H18.1,9943.0,no_points
2019,H,H20.1U,11557.0,no_points
2019,H,H67.2,27702.0,no_points
2019,H,H67.3,28544.0,no_points
2020,H,H07.1,3573.0,no_points
2020,H,H08.1,4327.0,no_points
2020,H,H18.1,9943.0,no_points
2020,H,H20.1U,11557.0,no_points
2020,H,H67.2,27702.0,no_points
2020,H,H67.3,28544.0,no_points
2021,H,H07.1,3573.0,no_points
2021,H,H08.1,4327.0,no_points
2021,H,H18.1,9943.0,no_points
2021,H,H20.1U,11557.0,no_points
2022,H,H07.1,3573.0,no_points
2022,H,H08.1,4327.0,no_points
2022,H,H18.1,9943.0,no_points
2022,H,H20.1U,11557.0,no_points
