year,River_ID,Section_ID,Cum_Distance,min_Z
2012,M,M00.2,0.0,-0.26
2012,M,M00.4,280.0,0.63
2012,M,M01,400.0,0.42
2012,M,M02,855.0,2.98
2012,M,M03,1135.0,3.62
2012,M,M04,1487.0,4.94
2012,M,M05,1599.0,5.65
2012,M,M06.1,1823.0,4.2
2012,M,M07,2111.0,4.88
2012,M,M08,2630.0,3.33
2012,M,M09,2998.0,3.7
2012,M,M10,3398.0,5.09
2012,M,M11,3877.0,5.93
2012,M,M12,4253.0,6.25
2012,M,M12.4,4757.0,7.81
2012,M,M13,4853.0,7.51
2012,M,M14,5037.0,7.59
2012,M,M15,5644.0,7.59
2012,M,M16,6204.0,8.72
2012,M,M17,6771.0,7.16
2012,M,M18,7275.0,8.96
2012,M,M19,7747.0,9.85
2012,M,M20,8115.0,9.21
2012,M,M21,8562.0,9.18
2012,M,M22,9026.0,10.41
2012,M,M23,9354.0,12.07
2012,M,M24,9745.0,9.99
2012,M,M25,10281.0,11.66
2012,M,M26,10777.0,14.61
2012,M,M27,11312.0,14.58
2012,M,M28,11664.0,14.89
2012,M,M29,11928.0,15.36
2012,M,M30,12143.0,15.77
2012,M,M31,12307.0,15.88
2012,M,M32,12451.0,17.19
2012,M,M33,12712.0,17.1
2012,M,M34,12881.0,17.19
2012,M,M35,12991.0,17.53
2012,M,M36,13193.0,19.13
2012,M,M37,13300.0,18.13
2012,M,M38,13450.0,16.51
2012,M,M39,13561.0,18.33
2012,M,M40,13763.0,20.66
2012,M,M41,13982.0,20.55
2012,M,M43,14104.0,21.48
2012,M,M44,14235.0,21.35
2012,M,M45,14396.0,22.38
2012,M,M46,14555.0,23.08
2012,M,M47,14790.0,22.74
2012,M,M48,14924.0,23.43
2012,M,M49,15062.0,23.33
2012,M,M50,15233.0,24.32
2012,M,M51,15435.0,24.41
2012,M,M52,15582.0,25.62
2012,M,M53,15769.0,25.56
2012,M,M54,15901.0,27.57
2012,M,M55,16109.0,28.62
2012,M,M56,16359.0,29.56
2012,M,M57,16473.0,29.25
2012,M,M58,16671.0,30.46
2012,M,M59,16877.0,32.36
2012,M,M60,17057.0,31.61
2012,M,M61,17216.0,33.67
2012,M,M62,17332.0,34.25
2012,M,M63,17513.0,34.32
2012,M,M64,17816.0,35.73
2012,M,M65,18003.0,37.42
2013,M,M00.2,0.0,-0.35
2013,M,M00.4,280.0,0.5
2013,M,M01,400.0,0.29
2013,M,M02,855.0,2.8
2013,M,M03,1135.0,3.58
2013,M,M04,1487.0,4.8
2013,M,M05,1599.0,5.41
2013,M,M06.1,1823.0,4.03
2013,M,M07,2111.0,5.09
2013,M,M08,2630.0,3.41
2013,M,M09,2998.0,3.51
2013,M,M10,3398.0,5.05
2013,M,M11,3877.0,5.79
2013,M,M12,4253.0,6.14
2013,M,M12.4,4757.0,7.7
2013,M,M13,4853.0,7.36
2013,M,M14,5037.0,7.51
2013,M,M15,5644.0,7.83
2013,M,M16,6204.0,8.58
2013,M,M17,6771.0,6.92
2013,M,M18,7275.0,8.77
2013,M,M19,7747.0,9.96
2013,M,M20,8115.0,9.25
2013,M,M21,8562.0,8.99
2013,M,M22,9026.0,8.34
2013,M,M23,9354.0,12.25
2013,M,M24,9745.0,10.15
2013,M,M25,10281.0,11.61
2013,M,M26,10777.0,14.72
2013,M,M27,11312.0,14.67
2013,M,M28,11664.0,14.6
2013,M,M29,11928.0,16.03
2013,M,M30,12143.0,15.63
2013,M,M31,12307.0,15.74
2013,M,M32,12451.0,17.04
2013,M,M33,12712.0,16.96
2013,M,M34,12881.0,17.0
2013,M,M35,12991.0,17.33
2013,M,M36,13193.0,18.99
2013,M,M37,13300.0,18.21
2013,M,M38,13450.0,16.39
2013,M,M39,13561.0,18.11
2013,M,M40,13763.0,20.37
2013,M,M41,13982.0,20.63
2013,M,M43,14104.0,21.27
2013,M,M44,14235.0,21.68
2013,M,M45,14396.0,22.42
2013,M,M46,14555.0,23.15
2013,M,M47,14790.0,22.96
2013,M,M48,14924.0,24.65
2013,M,M49,15062.0,23.24
2013,M,M50,15233.0,24.41
2013,M,M51,15435.0,24.2
2013,M,M52,15582.0,25.48
2013,M,M53,15769.0,25.79
2013,M,M54,15901.0,27.81
2013,M,M55,16109.0,28.68
2013,M,M56,16359.0,29.76
2013,M,M57,16473.0,29.02
2013,M,M58,16671.0,30.2
2013,M,M59,16877.0,32.1
2013,M,M60,17057.0,31.33
2013,M,M61,17216.0,33.49
2013,M,M62,17332.0,34.22
2013,M,M63,17513.0,34.43
2013,M,M64,17816.0,35.69
2013,M,M65,18003.0,37.24
2014,M,M00.2,0.0,-0.35
2014,M,M00.4,280.0,0.5
2014,M,M01,400.0,0.29
2014,M,M02,855.0,2.8
2014,M,M03,1135.0,3.58
2014,M,M04,1487.0,4.8
2014,M,M05,1599.0,5.41
2014,M,M06.1,1823.0,4.03
2014,M,M07,2111.0,5.09
2014,M,M08,2630.0,3.41
2014,M,M09,2998.0,3.51
2014,M,M10,3398.0,5.05
2014,M,M11,3877.0,5.79
2014,M,M12,4253.0,6.14
2014,M,M12.4,4757.0,7.7
2014,M,M13,4853.0,7.36
2014,M,M14,5037.0,7.51
2014,M,M15,5644.0,7.83
2014,M,M16,6204.0,8.58
2014,M,M17,6771.0,6.92
2014,M,M18,7275.0,8.77
2014,M,M19,7747.0,9.96
2014,M,M20,8115.0,9.25
2014,M,M21,8562.0,8.99
2014,M,M22,9026.0,8.34
2014,M,M23,9354.0,12.25
2014,M,M24,9745.0,10.15
2014,M,M25,10281.0,11.61
2014,M,M26,10777.0,14.72
2014,M,M27,11312.0,14.67
2014,M,M28,11664.0,14.6
2014,M,M29,11928.0,16.03
2014,M,M30,12143.0,15.63
2014,M,M31,12307.0,15.74
2014,M,M32,12451.0,17.04
