year,River_ID,Section_ID,Cum_Distance,min_Z
2012,TE,TE00,0.0,-7.68
2012,TE,TE01,541.0,-7.15
2012,TE,TE02,1118.0,-6.54
2012,TE,TE03,1803.0,-6.59
2012,TE,TE04,2524.0,-6.9
2012,TE,TE05,3246.0,-5.74
2012,TE,TE06,4292.0,-4.94
2012,TE,TE07,4760.0,-5.44
2012,TE,TE08,5283.0,-5.92
2012,TE,TE09,6059.0,-6.72
2012,TE,TE10,6672.0,-6.32
2012,TE,TE10.A,6960.0,-9.6
2012,TE,TE11,7285.0,-7.74
2012,TE,TE12,7934.0,-11.12
2012,TE,TE13,8835.0,-9.52
2012,TE,TE14,9665.0,-4.77
2012,TE,TE15,10278.0,-6.21
2012,TE,TE16,11107.0,-7.12
2012,TE,TE17,11612.0,-7.05
2012,TE,TE18,12298.0,-6.49
2012,TE,TE19,12694.0,-7.35
2012,TE,TE20,13488.0,-5.15
2012,TE,TE20.A,13920.0,-9.65
2012,TE,TE21,14065.0,-11.56
2012,TE,TE22,14786.0,-8.36
2012,TE,TE22.A,14822.0,-7.81
2012,TE,TE23,15327.0,-8.15
2012,TE,TE24,16048.0,-8.15
2012,TE,TE24.A,16481.0,-9.02
2012,TE,TE25,16625.0,-5.14
2012,TE,TE26,17202.0,-4.78
2012,TE,TE27,17815.0,-5.28
2012,TE,TE27.A,17923.0,-5.44
2012,TE,TE28,18464.0,-4.56
2012,TE,TE28.A,18717.0,-10.88
2012,TE,TE29,18933.0,-3.99
2012,TE,TE29.1,19186.0,-4.09
2012,TE,TE30,19654.0,-4.2
2012,TE,TE31,19871.0,-4.95
2012,TE,TE32,20664.0,-2.4
2012,TE,TE33,21133.0,-3.57
2012,TE,TE34,21710.0,-2.45
2012,TE,TE35,22395.0,-3.6
2012,TE,TE35.A,22485.0,-4.61
2012,TE,TE36,22900.0,-4.03
2012,TE,TE36.A,23297.0,-3.36
2012,TE,TE37,23766.0,-2.63
2012,TE,TE38,24559.0,-3.77
2012,TE,TE39,25370.0,-2.85
2012,TE,TE40,25966.0,-5.08
2012,TE,TE41,26723.0,-1.97
2012,TE,TE41.A,26759.0,-1.27
2012,TE,TE42,27264.0,-2.28
2012,TE,TE43,27624.0,-7.39
2012,TE,TE43.A,27805.0,-4.02
2012,TE,TE44,27985.0,-5.73
2012,TE,TE45,28670.0,-4.65
2012,TE,TE46,29247.0,-2.12
2012,TE,TE47,29788.0,-4.85
2012,TE,TE47.A,29824.0,-5.27
2012,TE,TE48,30365.0,-2.4
2012,TE,TE49,30870.0,0.59
2012,TE,TE50,31447.0,2.79
2012,TE,TE51,32168.0,4.05
2012,TE,TE52,33395.0,5.2
2012,TE,TE53,33755.0,5.79
2012,TE,TE53.A,34116.0,10.28
2012,TE,TE54,34440.0,9.35
2012,TE,TE55,35017.0,13.34
2012,TE,TE56,35558.0,10.5
2012,TE,TE57,36135.0,14.71
2012,TE,TE58,36712.0,17.65
2012,TE,TE59,36965.0,19.83
2012,TE,TE60,37217.0,22.55
